Feature,Importance
Feature_17021,0.23369394759076417
Feature_2,0.22469614634577678
Feature_17,0.18521819679080626
Feature_17025,0.09923559931721174
Feature_16941,0.054600127640242226
Feature_16882,0.05303589997290173
Feature_16939,0.037696737635442755
Feature_8,0.03226013073547444
Feature_38983,0.024198655625356155
Feature_38984,0.007828596588011385
Feature_6,0.006256022132536735
Feature_7,0.004245362884395265
Feature_0,0.0037807744443467605
Feature_17043,0.003737683247306676
Feature_17026,0.003401585327224847
Feature_9,0.0033862442823460173
Feature_16936,0.0033349023791376083
Feature_16937,0.0030193091334491193
Feature_17028,0.002976068451429283
Feature_16933,0.002743997278582012
Feature_16904,0.0019641593017640487
Feature_17024,0.0017349984406482314
Feature_19,0.0014586959212209661
Feature_10,0.0014428076828524173
Feature_17656,0.0012792420292078077
Feature_15,0.0009073422751270472
Feature_17023,0.0007112103385760488
Feature_17022,0.00033553679082310936
Feature_25776,0.00033325446491707896
Feature_38987,0.0002608769025446248
Feature_17659,0.00016482389669520103
Feature_16958,6.106415288168519e-05
Feature_26022,0.0
Feature_26021,0.0
Feature_26018,0.0
Feature_26017,0.0
Feature_26020,0.0
Feature_26015,0.0
Feature_26014,0.0
Feature_26013,0.0
Feature_26012,0.0
Feature_26023,0.0
Feature_26019,0.0
Feature_26011,0.0
Feature_26016,0.0
Feature_26009,0.0
Feature_26010,0.0
Feature_25999,0.0
Feature_25991,0.0
Feature_25992,0.0
Feature_25993,0.0
Feature_25994,0.0
Feature_25995,0.0
Feature_25996,0.0
Feature_25997,0.0
Feature_25998,0.0
Feature_26000,0.0
Feature_26025,0.0
Feature_26001,0.0
Feature_26002,0.0
Feature_26003,0.0
Feature_26004,0.0
Feature_26005,0.0
Feature_26006,0.0
Feature_26007,0.0
Feature_26008,0.0
Feature_26024,0.0
Feature_25919,0.0
Feature_26026,0.0
Feature_25913,0.0
Feature_26040,0.0
Feature_26041,0.0
Feature_26042,0.0
Feature_26043,0.0
Feature_26044,0.0
Feature_26045,0.0
Feature_26046,0.0
Feature_26047,0.0
Feature_26048,0.0
Feature_26049,0.0
Feature_26050,0.0
Feature_26051,0.0
Feature_26052,0.0
Feature_26053,0.0
Feature_26054,0.0
Feature_26039,0.0
Feature_26038,0.0
Feature_26037,0.0
Feature_26030,0.0
Feature_26027,0.0
Feature_25912,0.0
Feature_25989,0.0
Feature_26028,0.0
Feature_25911,0.0
Feature_26029,0.0
Feature_25910,0.0
Feature_26036,0.0
Feature_26031,0.0
Feature_26032,0.0
Feature_26033,0.0
Feature_26034,0.0
Feature_25909,0.0
Feature_26035,0.0
Feature_25990,0.0
Feature_25985,0.0
Feature_25988,0.0
Feature_25936,0.0
Feature_25938,0.0
Feature_25939,0.0
Feature_25940,0.0
Feature_25941,0.0
Feature_25942,0.0
Feature_25943,0.0
Feature_25944,0.0
Feature_25945,0.0
Feature_25946,0.0
Feature_25947,0.0
Feature_25916,0.0
Feature_25948,0.0
Feature_25915,0.0
Feature_25914,0.0
Feature_25949,0.0
Feature_25937,0.0
Feature_25917,0.0
Feature_25987,0.0
Feature_25935,0.0
Feature_25921,0.0
Feature_25922,0.0
Feature_25923,0.0
Feature_25924,0.0
Feature_25925,0.0
Feature_25926,0.0
Feature_25918,0.0
Feature_25927,0.0
Feature_25928,0.0
Feature_25929,0.0
Feature_25930,0.0
Feature_25931,0.0
Feature_25932,0.0
Feature_25933,0.0
Feature_25934,0.0
Feature_25950,0.0
Feature_25951,0.0
Feature_25952,0.0
Feature_25953,0.0
Feature_25972,0.0
Feature_25973,0.0
Feature_26055,0.0
Feature_25975,0.0
Feature_25976,0.0
Feature_25977,0.0
Feature_25978,0.0
Feature_25979,0.0
Feature_25980,0.0
Feature_25981,0.0
Feature_25982,0.0
Feature_25983,0.0
Feature_25984,0.0
Feature_25920,0.0
Feature_25986,0.0
Feature_25971,0.0
Feature_25970,0.0
Feature_25969,0.0
Feature_25960,0.0
Feature_25954,0.0
Feature_25955,0.0
Feature_25956,0.0
Feature_25957,0.0
Feature_25958,0.0
Feature_25959,0.0
Feature_25961,0.0
Feature_25968,0.0
Feature_25962,0.0
Feature_25963,0.0
Feature_25964,0.0
Feature_25965,0.0
Feature_25966,0.0
Feature_25967,0.0
Feature_25974,0.0
Feature_26069,0.0
Feature_26056,0.0
Feature_26150,0.0
Feature_26152,0.0
Feature_26153,0.0
Feature_26154,0.0
Feature_26155,0.0
Feature_26156,0.0
Feature_26157,0.0
Feature_26158,0.0
Feature_26159,0.0
Feature_26160,0.0
Feature_26161,0.0
Feature_26162,0.0
Feature_26163,0.0
Feature_26164,0.0
Feature_26165,0.0
Feature_26166,0.0
Feature_26151,0.0
Feature_26149,0.0
Feature_26168,0.0
Feature_26148,0.0
Feature_26133,0.0
Feature_26134,0.0
Feature_26135,0.0
Feature_26136,0.0
Feature_26137,0.0
Feature_26138,0.0
Feature_26139,0.0
Feature_26140,0.0
Feature_26141,0.0
Feature_26142,0.0
Feature_26143,0.0
Feature_26144,0.0
Feature_26145,0.0
Feature_26146,0.0
Feature_26147,0.0
Feature_26167,0.0
Feature_26169,0.0
Feature_26057,0.0
Feature_26188,0.0
Feature_26190,0.0
Feature_26191,0.0
Feature_26192,0.0
Feature_26193,0.0
Feature_26194,0.0
Feature_26195,0.0
Feature_26196,0.0
Feature_26197,0.0
Feature_26198,0.0
Feature_26199,0.0
Feature_26200,0.0
Feature_26201,0.0
Feature_26202,0.0
Feature_26203,0.0
Feature_26204,0.0
