Feature,Importance
Feature_17021,30224.754349801653
Feature_17028,20654.174724904526
Feature_17025,17125.6004461024
Feature_17022,11045.437204368276
Feature_17024,10072.299421894475
Feature_17027,9428.077395003147
Feature_17043,9038.091744132902
Feature_16941,8206.219596137362
Feature_16939,7836.358662788403
Feature_17352,6739.747357457245
Feature_17100,6599.2467374923
Feature_17591,6142.949018374041
Feature_17620,6068.189714002597
Feature_17378,5803.856740802703
Feature_17396,5734.44549453933
Feature_17607,5689.494204614792
Feature_17643,5550.916218392134
Feature_17061,5549.333358488868
Feature_17614,5520.856801162034
Feature_17097,5479.553860450061
Feature_17618,5446.9984843978045
Feature_17354,5378.251488251892
Feature_17589,5312.459310069806
Feature_17646,5285.6854644941795
Feature_17074,5271.279050361506
Feature_17040,5207.364049639234
Feature_17648,5133.027645169277
Feature_17622,5108.400210194335
Feature_17586,5060.088154652483
Feature_16937,5051.009486838326
Feature_17612,5026.498661163089
Feature_17057,4974.8003448258605
Feature_19017,4955.635362448809
Feature_16392,4955.635362448809
Feature_6535,4955.635362448781
Feature_16942,4949.232460781618
Feature_16933,4937.689489471013
Feature_17395,4935.354670020354
Feature_17068,4887.151699578303
Feature_17630,4804.746147419658
Feature_15010,4800.793912652062
Feature_18417,4800.793912652062
Feature_31160,4800.793912652062
Feature_3754,4800.7939126499705
Feature_17384,4779.038369974232
Feature_17582,4745.185981392452
Feature_16936,4696.4354546200975
Feature_17588,4648.116308186357
Feature_17645,4614.666550366506
Feature_38987,4495.244185772935
Feature_17348,4474.947536566131
Feature_17101,4266.114491999629
Feature_17585,4252.597674184611
Feature_25874,4252.507356739865
Feature_17026,4226.519598352975
Feature_17380,4202.612921572688
Feature_17121,4169.359724814462
Feature_17099,4064.24186043415
Feature_17045,4036.220072154412
Feature_17359,4031.7617523573713
Feature_17088,4022.502106400277
Feature_17634,3999.122683177065
Feature_17361,3993.776535815831
Feature_17102,3969.0262233964113
Feature_17581,3937.0872759053163
Feature_17033,3931.391925011745
Feature_17175,3921.6767021440546
Feature_17047,3913.5113485042298
Feature_17467,3907.436956865241
Feature_17587,3897.004487697233
Feature_17428,3863.9637208476715
Feature_17039,3830.866801765425
Feature_17593,3808.121092676027
Feature_17625,3785.6599613703224
Feature_17086,3779.616980421467
Feature_17492,3773.840413387782
Feature_17357,3763.743731861751
Feature_38989,3744.007592461053
Feature_17152,3724.0099503777847
Feature_17598,3721.0439031649516
Feature_17608,3679.274159522856
Feature_17072,3677.5271063809587
