Feature,Importance
Feature_2,0.44574140953379715
Feature_17,0.39434301887037143
Feature_17025,0.02195059253366714
Feature_17028,0.019507421883025462
Feature_16939,0.018206687799416317
Feature_16941,0.0177303780820559
Feature_16882,0.014339611650751741
Feature_17027,0.011248659588263165
Feature_17024,0.008596566554206172
Feature_17021,0.006337796658890031
Feature_16935,0.004025178279883773
Feature_16938,0.0038296339650385493
Feature_38983,0.003737366478289978
Feature_17026,0.0035155528576331168
Feature_16934,0.003500973154350646
Feature_9,0.0025801127305190574
Feature_8,0.001976144349452973
Feature_16940,0.0015939698640560533
Feature_15,0.0013341904204536939
Feature_10,0.0008374426545184738
Feature_17022,0.000823856732242428
Feature_0,0.00080360552499676
Feature_17023,0.0007199220884186146
Feature_6,0.0006975831176354189
Feature_11,0.0006263564640688753
Feature_13,0.0005687957930766418
Feature_38984,0.0005192386655350096
Feature_7,0.0005071064116574982
Feature_3,0.0003983837984493082
Feature_16936,0.0003697198477839689
Feature_16933,0.000369114429673467
Feature_16942,0.0003214674253208415
Feature_1,0.00029645752091486243
Feature_4,0.0002737171064258745
Feature_14,0.0002581939375102255
Feature_16937,0.00024546638773532633
Feature_16865,0.00023061141030130262
Feature_35745,0.00015595675269820572
Feature_19,0.0001425786394688044
Feature_17748,0.00013274560421335115
Feature_25799,0.000132641885606873
Feature_17670,0.00012202480554652065
Feature_25797,0.00011914091231019378
Feature_16883,0.00011911806965581049
Feature_17659,0.00010870308211817927
Feature_16868,9.992174956142208e-05
Feature_17653,9.724562158130037e-05
Feature_16904,9.144057222026815e-05
Feature_17749,8.956545625490827e-05
Feature_17657,8.442061548223294e-05
Feature_17755,8.429716767213565e-05
Feature_17761,8.180947696952685e-05
Feature_25796,7.449266424024903e-05
Feature_12,7.395629405492369e-05
Feature_25792,7.388897767313614e-05
Feature_25798,7.228811213754756e-05
Feature_18,7.22698519070386e-05
Feature_17753,7.136122115413678e-05
Feature_17765,6.479791519103083e-05
Feature_17751,6.425388717916291e-05
Feature_25776,6.409960597789302e-05
Feature_5,5.7981676493872116e-05
Feature_1566,5.766718387252357e-05
Feature_38985,5.7000356730010104e-05
Feature_16887,5.6156715160864145e-05
Feature_17664,5.558427631693145e-05
Feature_16915,5.331310042776325e-05
Feature_17759,4.880002184044412e-05
Feature_28511,4.8064479014211806e-05
Feature_17656,4.623804580390444e-05
Feature_38990,4.219051827811557e-05
Feature_17666,4.211361756974334e-05
