Feature,Importance
Feature_17021,29040.50628712437
Feature_17028,19340.36623777945
Feature_17025,16272.439307029204
Feature_17022,9836.4300823711
Feature_17027,9567.88660388572
Feature_17024,9317.231055321792
Feature_17043,8608.741294229245
Feature_16941,8118.2505824255495
Feature_16939,7741.891518594525
Feature_17352,6065.591501238313
Feature_17100,6030.831006946302
Feature_17591,5866.10190257842
Feature_17620,5721.386532254749
Feature_17378,5350.403158478502
Feature_17607,5350.3114191202685
Feature_17396,5333.6005353062155
Feature_17614,5271.092367481757
Feature_17643,5261.823747174629
Feature_17618,5078.803018575952
Feature_17589,5065.785828595033
Feature_17097,5044.747584913574
Feature_16937,4984.349875901901
Feature_17354,4961.208163434081
Feature_17646,4912.559264986673
Feature_17061,4894.160999840209
Feature_16942,4891.9947767273725
Feature_16933,4883.573715130412
Feature_17074,4850.060819930825
Feature_38987,4842.764547128046
Feature_17648,4786.449044722067
Feature_17622,4783.128750885057
Feature_17612,4732.664918020139
Feature_17586,4704.0961433496905
Feature_16936,4638.779996067501
Feature_17040,4548.706655404992
Feature_17395,4538.557886749347
Feature_17582,4519.8773325123875
Feature_17057,4475.938061267977
Feature_17630,4472.01243483824
Feature_17384,4419.499216122561
Feature_17068,4408.155549762626
Feature_17588,4358.7416344964895
Feature_17645,4337.950665295518
Feature_19017,4232.635721692262
Feature_6535,4232.635721692262
Feature_16392,4232.635721692262
Feature_31160,4115.290399951382
Feature_18417,4115.290399951382
Feature_3754,4115.290399951382
Feature_15010,4115.290399951382
Feature_17348,4079.9138275201126
Feature_38989,4000.0020778276566
Feature_17585,3977.721466494017
Feature_17121,3944.4203866501157
Feature_17380,3938.122048785659
Feature_17101,3868.544943855178
Feature_2,3792.303300573328
Feature_17,3792.303300573322
Feature_17361,3764.667528345878
Feature_17359,3756.4536709971358
Feature_17634,3755.437748227878
Feature_38986,3749.6080680744744
Feature_25874,3702.332136141453
Feature_17581,3696.4382949048913
Feature_17587,3693.137932471478
Feature_17099,3690.6568050206856
Feature_17045,3690.1596835851556
Feature_17175,3682.60261065574
Feature_17428,3646.041257779358
Feature_17047,3609.1614125250926
Feature_17467,3608.043415151421
Feature_17593,3607.936729429248
Feature_17088,3605.904806601714
Feature_17357,3582.368129453087
Feature_17026,3574.730325931584
Feature_17625,3556.1404938675305
Feature_17033,3543.322147698139
Feature_17039,3532.754256440252
Feature_17492,3519.5251323585107
Feature_17152,3507.8195704631526
Feature_17598,3496.1746433805856
Feature_17102,3480.7505364226945
Feature_17608,3439.527219289148
Feature_17146,3399.0484957346334
Feature_17086,3379.6846426926527
Feature_17633,3370.53833403093
Feature_17400,3363.0667720002853
Feature_17632,3356.3789399463963
Feature_17178,3351.489473103629
Feature_17599,3348.3076848348505
Feature_17386,3288.130557958533
Feature_17056,3286.210835325326
Feature_17072,3282.3221179050493
Feature_17355,3265.1026307042725
Feature_17644,3250.2196527255105
Feature_17459,3244.6632800848624
Feature_17066,3230.446366345301
Feature_17144,3216.5069213268534
Feature_17628,3209.153798248791
Feature_17391,3194.9155937036667
Feature_17041,3142.4334360995167
